ZBUKR	LIFNR	VBLNR	VALUT	ZBNKS	ZBNKL	ZBNKN	RZAWE	EMPFG
2000	0000100043	2000000086	2026-03-10	LU	62790652	441751437480	C	0000100043
2000	0000100043	2000000087	2026-04-08	LU	62790652	441751437480	C	0000100043
2000	0000100043	2000000088	2026-07-04	LU	62790652	441751437480	C	0000100043
2000	0000100043	2000000089	2026-07-29	LU	62790652	441751437480	C	0000100043
2000	0000100043	2000000090	2026-09-07	LU	62790652	441751437480	U	0000100043
3000	0000100044	2000000091	2026-05-31	LU	23521645	812713310199	T	0000100044
3000	0000100046	2000000092	2026-07-06	PA	73076067	929220594189	U	0000100046
3000	0000100046	2000000093	2026-05-01	US	80889685	374934831758	T	0000100046
3000	0000100046	2000000094	2026-03-14	US	80889685	374934831758	T	0000100046
3000	0000100047	2000000095	2026-05-04	US	54551876	101238438746	U	0000100047
2000	0000100048	2000000096	2026-02-15	NL	28764692	645422039571	T	0000100048
3000	0000100049	2000000097	2026-02-15	US	29006208	340525062545	U	0000100049
4000	0000100050	2000000098	2026-09-01	HK	27858619	198109542290	C	0000100050
4000	0000100050	2000000099	2026-06-14	GB	66008192	974491117518	C	0000100050
3000	0000100051	2000000100	2026-03-05	KY	20672631	927797454577	T	0000100051
2000	0000100052	2000000101	2026-05-21	IN	35771224	171102167128	T	0000100052
1000	0000100053	2000000102	2026-04-27	DE	62131388	588370033039	C	0000100053
1000	0000100053	2000000103	2026-03-04	DE	62131388	588370033039	C	0000100053
1000	0000100053	2000000104	2026-03-20	DE	62131388	588370033039	C	0000100053
3000	0000100054	2000000105	2026-08-23	US	52313956	419907798618	T	0000100054
3000	0000100054	2000000106	2026-06-28	US	52313956	419907798618	U	0000100054
1000	0000100055	2000000107	2026-04-25	JP	19452266	729329518001	U	THIRDPARTY
3000	0000100056	2000000108	2026-10-05	US	30906351	759206391538	U	0000100056
3000	0000100056	2000000109	2026-01-13	US	30906351	759206391538	C	0000100056
1000	0000100058	2000000110	2026-06-09	TH	88083229	888993375908	U	0000100058
1000	0000100058	2000000111	2026-03-15	FR	24903295	312650930554	C	0000100058
1000	0000100058	2000000112	2026-06-09	TH	88083229	888993375908	T	0000100058
1000	0000100058	2000000113	2026-03-18	TH	88083229	888993375908	T	0000100058
1000	0000100058	2000000114	2026-05-04	FR	24903295	312650930554	T	0000100058
1000	0000100059	2000000115	2026-03-26	US	67105144	499246755071	U	0000100059
1000	0000100059	2000000116	2026-09-13	US	67105144	499246755071	U	THIRDPARTY
4000	0000100060	2000000117	2026-02-28	VN	25657672	692458135068	C	0000100060
4000	0000100060	2000000118	2026-08-04	TH	61302891	186349962603	C	0000100060
4000	0000100060	2000000119	2026-03-28	VN	25657672	692458135068	C	0000100060
4000	0000100060	2000000120	2026-06-25	VN	25657672	692458135068	T	0000100060
4000	0000100060	2000000121	2026-05-05	VN	25657672	692458135068	C	0000100060
3000	0000100061	2000000122	2026-03-18	HK	87458100	788237533357	U	THIRDPARTY
3000	0000100061	2000000123	2026-05-16	HK	87458100	788237533357	C	0000100061
2000	0000100062	2000000124	2026-02-15	NL	70842539	158921186548	C	0000100062
3000	0000100064	2000000125	2026-06-18	US	91595176	859319166858	C	0000100064
1000	0000100065	2000000126	2026-02-23	JP	32368213	341031836570	C	0000100065
4000	0000100066	2000000127	2026-08-27	DE	95986058	481761408736	U	0000100066
4000	0000100066	2000000128	2026-06-30	DE	95986058	481761408736	T	0000100066
1000	0000100067	2000000129	2026-06-30	JP	73426814	944776402194	C	0000100067
1000	0000100067	2000000130	2026-05-05	GB	62787313	539015836952	T	0000100067
1000	0000100067	2000000131	2026-07-21	JP	73426814	944776402194	C	0000100067
2000	0000100068	2000000132	2026-04-25	NL	89826669	685450300202	T	0000100068
3000	0000100069	2000000133	2026-08-26	US	60475319	250778609500	C	0000100069
3000	0000100070	2000000134	2026-02-19	US	41357924	955686910436	T	0000100070
4000	0000100071	2000000135	2026-05-24	GB	56458273	449335749688	C	0000100071
4000	0000100072	2000000136	2026-10-13	VN	45303803	348529498657	U	0000100072
4000	0000100072	2000000137	2026-06-12	VN	45303803	348529498657	T	0000100072
2000	0000100073	2000000138	2026-04-12	KR	48913723	997661500208	U	0000100073
2000	0000100073	2000000139	2026-08-20	KR	48913723	997661500208	T	0000100073
3000	0000100074	2000000140	2026-07-10	FR	82688719	419704331560	C	0000100074
3000	0000100074	2000000141	2026-08-14	FR	82688719	419704331560	U	0000100074
2000	0000100075	2000000142	2026-04-23	CH	26864225	554937857242	C	0000100075
2000	0000100075	2000000143	2026-09-11	CH	26864225	554937857242	T	0000100075
3000	0000100076	2000000144	2026-07-21	US	39837440	827249192792	C	0000100076
3000	0000100076	2000000145	2026-06-23	US	39837440	827249192792	C	0000100076
3000	0000100076	2000000146	2026-08-21	US	39837440	827249192792	T	0000100076
3000	0000100076	2000000147	2026-05-07	US	39837440	827249192792	T	0000100076
3000	0000100077	2000000148	2026-03-29	FR	81869137	946771723371	C	0000100077
3000	0000100077	2000000149	2026-02-09	FR	81869137	946771723371	C	0000100077
3000	0000100077	2000000150	2026-03-04	FR	81869137	946771723371	T	0000100077
4000	0000100078	2000000151	2026-07-14	FR	26353580	580746929261	C	0000100078
1000	0000100079	2000000152	2026-04-23	GB	38907362	864803155345	U	0000100079
3000	0000100080	2000000153	2026-10-12	KR	13065710	721471672156	U	0000100080
2000	0000100081	2000000154	2026-08-20	NL	96780064	753145321054	C	0000100081
1000	0000100082	2000000155	2026-06-10	US	39896500	848975130619	C	0000100082
4000	0000100083	2000000156	2026-04-17	GB	17383440	222330066193	T	0000100083
4000	0000100083	2000000157	2026-04-09	GB	17383440	222330066193	T	0000100083
4000	0000100083	2000000158	2026-03-16	GB	17383440	222330066193	C	0000100083
4000	0000100083	2000000159	2026-05-28	GB	17383440	222330066193	T	0000100083
4000	0000100083	2000000160	2026-08-26	GB	17383440	222330066193	U	0000100083
4000	0000100084	2000000161	2026-03-07	DE	37249982	159729154962	T	0000100084
4000	0000100084	2000000162	2026-08-06	DE	37249982	159729154962	C	0000100084
4000	0000100084	2000000163	2026-02-16	DE	37249982	159729154962	C	0000100084
4000	0000100084	2000000164	2026-05-08	DE	37249982	159729154962	U	0000100084
3000	0000100085	2000000165	2026-06-04	FR	41409710	380197122647	T	0000100085
4000	0000100087	2000000166	2026-05-07	CH	62959996	352314247683	C	0000100087
4000	0000100087	2000000167	2026-07-22	CH	62959996	352314247683	T	0000100087
4000	0000100087	2000000168	2026-09-06	CH	62959996	352314247683	U	0000100087
3000	0000100088	2000000169	2026-05-26	US	84288173	343078878460	T	0000100088
1000	0000100089	2000000170	2026-08-12	SG	24351501	547562047687	C	0000100089
5000	0000100090	2000000171	2026-02-24	US	78191700	518285965273	C	0000100090
5000	0000100090	2000000172	2026-08-20	VN	76901250	794830757837	C	0000100090
5000	0000100090	2000000173	2026-03-23	VN	76901250	794830757837	T	0000100090
2000	0000100091	2000000174	2026-08-18	MY	47587409	756004080929	U	0000100091
2000	0000100091	2000000175	2026-03-10	MY	47587409	756004080929	T	0000100091
2000	0000100091	2000000176	2026-03-28	MY	47587409	756004080929	U	THIRDPARTY
2000	0000100091	2000000177	2026-08-30	DE	41001656	421950915087	C	0000100091
2000	0000100091	2000000178	2026-07-16	MY	47587409	756004080929	U	0000100091
4000	0000100092	2000000179	2026-06-14	GB	60511606	995656585072	U	0000100092
4000	0000100092	2000000180	2026-06-20	GB	60511606	995656585072	T	0000100092
4000	0000100092	2000000181	2026-05-26	GB	60511606	995656585072	C	0000100092
4000	0000100092	2000000182	2026-07-12	GB	60511606	995656585072	C	0000100092
5000	0000100093	2000000183	2026-08-03	VN	63369271	954072047733	C	0000100093
5000	0000100093	2000000184	2026-09-02	PA	69328482	268474540316	T	0000100093
5000	0000100093	2000000185	2026-06-08	PA	69328482	268474540316	T	0000100093
5000	0000100093	2000000186	2026-05-25	MY	55792214	464765098481	C	0000100093
4000	0000100094	2000000187	2026-04-07	GB	19780489	626373824138	C	0000100094
4000	0000100094	2000000188	2026-08-01	GB	19780489	626373824138	U	0000100094
1000	0000100095	2000000189	2026-10-22	CH	93740026	213954805200	T	0000100095
1000	0000100095	2000000190	2026-04-26	HK	37388179	766581395641	U	0000100095
1000	0000100095	2000000191	2026-10-05	HK	37388179	766581395641	T	0000100095
1000	0000100096	2000000192	2026-05-09	KR	29798837	308723117516	U	0000100096
1000	0000100096	2000000193	2026-09-04	MY	61306407	864250072352	U	0000100096
1000	0000100096	2000000194	2026-09-16	KR	29798837	308723117516	U	0000100096
1000	0000100097	2000000195	2026-03-05	JP	97755568	531583882048	C	0000100097
3000	0000100098	2000000196	2026-03-20	NL	22374952	299512762389	T	0000100098
3000	0000100098	2000000197	2026-03-03	KY	77161773	853076899919	U	0000100098
3000	0000100098	2000000198	2026-03-17	NL	22374952	299512762389	T	0000100098
3000	0000100099	2000000199	2026-04-24	US	54771048	705132099731	C	0000100099
3000	0000100099	2000000200	2026-08-27	US	54771048	705132099731	T	0000100099
3000	0000100100	2000000201	2026-04-18	US	83783709	248800111960	C	0000100100
3000	0000100100	2000000202	2026-05-07	PA	74674857	471815534883	U	0000100100
2000	0000100102	2000000203	2026-06-02	LU	58172403	681835299687	T	0000100102
4000	0000100103	2000000204	2026-04-13	GB	18446502	829286802286	C	0000100103
4000	0000100103	2000000205	2026-03-12	GB	18446502	829286802286	U	0000100103
4000	0000100103	2000000206	2026-07-14	GB	18446502	829286802286	C	0000100103
4000	0000100103	2000000207	2026-03-02	GB	18446502	829286802286	U	0000100103
1000	0000100104	2000000208	2026-02-09	JP	15523744	582830586905	T	0000100104
1000	0000100104	2000000209	2026-06-03	JP	15523744	582830586905	U	0000100104
1000	0000100104	2000000210	2026-04-07	JP	15523744	582830586905	T	0000100104
4000	0000100105	2000000211	2026-02-20	KY	41272939	415057517656	T	THIRDPARTY
4000	0000100105	2000000212	2026-09-04	KY	41272939	415057517656	C	0000100105
4000	0000100105	2000000213	2026-09-27	KY	41272939	415057517656	T	0000100105
1000	0000100106	2000000214	2026-04-18	NL	39955649	625232679079	T	0000100106
1000	0000100106	2000000215	2026-06-02	NL	39955649	625232679079	T	0000100106
1000	0000100106	2000000216	2026-03-20	NL	39955649	625232679079	T	0000100106
1000	0000100106	2000000217	2026-08-30	CH	13083637	773448877595	T	0000100106
5000	0000100107	2000000218	2026-05-06	TH	40284181	540304624009	T	0000100107
5000	0000100107	2000000219	2026-02-17	TH	40284181	540304624009	C	0000100107
5000	0000100107	2000000220	2026-05-23	TH	40284181	540304624009	T	0000100107
2000	0000100108	2000000221	2026-02-09	GB	63736896	213134826043	U	0000100108
5000	0000100109	2000000222	2026-05-13	SG	10993383	203272382197	C	0000100109
3000	0000100110	2000000223	2026-05-03	JP	65286624	753003898210	T	0000100110
3000	0000100110	2000000224	2026-03-25	JP	65286624	753003898210	C	0000100110
5000	0000100111	2000000225	2026-07-16	US	16416357	741992408899	U	0000100111
3000	0000100112	2000000226	2026-08-31	JP	28466103	512459616279	T	0000100112
3000	0000100112	2000000227	2026-04-13	JP	28466103	512459616279	U	THIRDPARTY
3000	0000100112	2000000228	2026-03-12	JP	28466103	512459616279	U	0000100112
1000	0000100113	2000000229	2026-05-26	AE	99311566	740298513123	C	0000100113
4000	0000100114	2000000230	2026-03-26	JP	35654496	435936867820	U	0000100114
3000	0000100115	2000000231	2026-03-03	GB	72900778	221190839474	C	0000100115
3000	0000100115	2000000232	2026-02-05	GB	72900778	221190839474	T	0000100115
3000	0000100115	2000000233	2026-03-13	GB	72900778	221190839474	T	0000100115
3000	0000100115	2000000234	2026-06-18	GB	72900778	221190839474	C	0000100115
3000	0000100115	2000000235	2026-06-07	GB	72900778	221190839474	U	0000100115
4000	0000100116	2000000236	2026-09-02	GB	44942630	343779026352	U	0000100116
4000	0000100116	2000000237	2026-08-31	GB	44942630	343779026352	U	0000100116
2000	0000100117	2000000238	2026-05-11	NL	36223965	688310706852	C	0000100117
2000	0000100117	2000000239	2026-06-21	NL	36223965	688310706852	U	0000100117
2000	0000100117	2000000240	2026-05-18	NL	36223965	688310706852	T	0000100117
5000	0000100119	2000000241	2026-08-23	MY	67049256	435271332935	C	0000100119
5000	0000100119	2000000242	2026-09-26	MY	67049256	435271332935	C	0000100119
5000	0000100119	2000000243	2026-01-30	MY	67049256	435271332935	T	0000100119
5000	0000100119	2000000244	2026-08-29	MY	67049256	435271332935	C	0000100119
5000	0000100119	2000000245	2026-02-04	IN	59806903	249698355315	U	0000100119
2000	0000100120	2000000246	2026-08-12	NL	41426717	474641216753	C	0000100120
2000	0000100120	2000000247	2026-04-20	NL	41426717	474641216753	T	0000100120
2000	0000100120	2000000248	2026-05-23	NL	41426717	474641216753	T	0000100120
1000	0000100121	2000000249	2026-05-22	IN	33434746	339549503813	T	0000100121
1000	0000100122	2000000250	2026-04-29	KY	21762038	736685060032	C	0000100122
4000	0000100123	2000000251	2026-03-07	GB	23328400	647628289673	U	0000100123
5000	0000100125	2000000252	2026-09-13	FR	58254718	114999823078	U	0000100125
5000	0000100125	2000000253	2026-07-04	FR	58254718	114999823078	T	0000100125
4000	0000100126	2000000254	2026-04-17	PA	96077259	700304622697	C	0000100126
4000	0000100126	2000000255	2026-03-21	PA	96077259	700304622697	U	0000100126
4000	0000100126	2000000256	2026-05-15	IN	43492185	842858135171	C	0000100126
2000	0000100127	2000000257	2026-03-20	VN	81721199	898354080517	U	0000100127
2000	0000100127	2000000258	2026-08-09	VN	81721199	898354080517	T	0000100127
2000	0000100127	2000000259	2026-09-01	VN	81721199	898354080517	U	0000100127
2000	0000100127	2000000260	2026-04-08	VN	81721199	898354080517	C	0000100127
4000	0000100128	2000000261	2026-07-23	PA	30606663	488028069394	U	0000100128
3000	0000100129	2000000262	2026-05-15	CN	69858916	672797805865	T	0000100129
1000	0000100131	2000000263	2026-05-26	GB	19983919	485337106420	C	0000100131
1000	0000100131	2000000264	2026-08-07	GB	19983919	485337106420	U	0000100131
1000	0000100131	2000000265	2026-04-30	GB	19983919	485337106420	C	0000100131
1000	0000100133	2000000266	2026-05-31	PA	99543483	714089126026	C	0000100133
1000	0000100133	2000000267	2026-08-24	MY	95339324	544983459133	C	0000100133
1000	0000100134	2000000268	2026-06-19	JP	64457701	506501184225	T	0000100134
5000	0000100135	2000000269	2026-05-02	VN	86858633	837131982554	C	THIRDPARTY
1000	0000100136	2000000270	2026-04-17	JP	72939765	634050237433	T	0000100136
1000	0000100136	2000000271	2026-05-11	JP	72939765	634050237433	T	0000100136
5000	0000100137	2000000272	2026-05-30	IN	50267451	920363892729	C	0000100137
5000	0000100137	2000000273	2026-05-11	IN	50267451	920363892729	U	0000100137
3000	0000100138	2000000274	2026-03-16	US	33984711	558674635678	C	0000100138
3000	0000100138	2000000275	2026-07-18	US	33984711	558674635678	T	0000100138
3000	0000100138	2000000276	2026-05-07	US	33984711	558674635678	C	0000100138
3000	0000100139	2000000277	2026-02-22	US	96004385	494053796608	U	0000100139
3000	0000100139	2000000278	2026-05-11	US	96004385	494053796608	U	0000100139
3000	0000100139	2000000279	2026-09-16	US	96004385	494053796608	U	0000100139
3000	0000100139	2000000280	2026-09-09	US	96004385	494053796608	T	0000100139
3000	0000100140	2000000281	2026-02-21	US	52712432	395971531261	T	0000100140
4000	0000100141	2000000282	2026-07-21	GB	63523669	220384348591	T	0000100141
4000	0000100141	2000000283	2026-07-01	GB	63523669	220384348591	U	0000100141
4000	0000100141	2000000284	2026-08-26	GB	63523669	220384348591	T	0000100141
1000	0000100142	2000000285	2026-03-01	JP	74202218	749867911098	C	0000100142
1000	0000100142	2000000286	2026-07-06	JP	74202218	749867911098	U	THIRDPARTY
5000	0000100143	2000000287	2026-08-14	VN	66810122	615137244503	T	0000100143
5000	0000100143	2000000288	2026-04-20	JP	51741167	434037401089	U	0000100143
5000	0000100143	2000000289	2026-03-02	VN	66810122	615137244503	U	0000100143
1000	0000100144	2000000290	2026-06-15	JP	58547215	609051594626	U	0000100144
1000	0000100144	2000000291	2026-03-24	JP	58547215	609051594626	T	0000100144
1000	0000100144	2000000292	2026-06-12	JP	58547215	609051594626	C	0000100144
1000	0000100145	2000000293	2026-03-02	TH	45626054	900871685525	T	0000100145
1000	0000100145	2000000294	2026-05-15	TH	45626054	900871685525	U	0000100145
1000	0000100145	2000000295	2026-02-18	TH	45626054	900871685525	C	0000100145
1000	0000100145	2000000296	2026-08-02	TH	45626054	900871685525	T	0000100145
1000	0000100145	2000000297	2026-08-21	TH	45626054	900871685525	T	0000100145
4000	0000100146	2000000298	2026-03-10	GB	16228454	529044157661	U	0000100146
4000	0000100146	2000000299	2026-07-13	GB	16228454	529044157661	C	0000100146
4000	0000100146	2000000300	2026-06-01	GB	16228454	529044157661	C	0000100146
4000	0000100146	2000000301	2026-08-17	GB	16228454	529044157661	T	0000100146
4000	0000100146	2000000302	2026-10-14	CN	23209096	115060034745	T	0000100146
3000	0000100147	2000000303	2026-05-22	LU	77166963	481998672846	U	0000100147
3000	0000100147	2000000304	2026-04-03	LU	77166963	481998672846	T	0000100147
3000	0000100147	2000000305	2026-06-07	LU	77166963	481998672846	T	0000100147
1000	0000100148	2000000306	2026-10-10	JP	18346277	502785686707	U	0000100148
1000	0000100148	2000000307	2026-04-24	JP	18346277	502785686707	C	0000100148
3000	0000100149	2000000308	2026-10-09	LU	62801557	452631390161	U	0000100149
3000	0000100149	2000000309	2026-06-21	NL	22623216	216933740924	T	0000100149
2000	0000100150	2000000310	2026-01-18	VN	71837783	732162567328	T	0000100150
2000	0000100150	2000000311	2026-08-12	NL	99204204	229728359634	C	THIRDPARTY
1000	0000100151	2000000312	2026-07-24	GB	77072121	739514929894	C	0000100151
1000	0000100151	2000000313	2026-07-23	SG	22328019	247686889008	T	0000100151
1000	0000100152	2000000314	2026-03-04	CH	58266605	950813073891	T	0000100152
1000	0000100152	2000000315	2026-09-16	CH	58266605	950813073891	C	0000100152
1000	0000100152	2000000316	2026-08-02	CH	58266605	950813073891	U	0000100152
4000	0000100153	2000000317	2026-06-08	GB	44558820	602338959450	U	0000100153
2000	0000100154	2000000318	2026-06-19	NL	42529552	957794607110	T	0000100154
2000	0000100154	2000000319	2026-07-30	PA	75203953	266257490164	T	0000100154
5000	0000100155	2000000320	2026-03-05	VN	54266792	354728841367	C	0000100155
5000	0000100155	2000000321	2026-05-13	VN	54266792	354728841367	U	0000100155
5000	0000100155	2000000322	2026-05-15	VN	54266792	354728841367	T	0000100155
5000	0000100155	2000000323	2026-09-21	VN	54266792	354728841367	T	0000100155
1000	0000100156	2000000324	2026-10-06	MY	64144327	935994821748	C	0000100156
2000	0000100157	2000000325	2026-10-18	NL	53854924	946159065575	T	0000100157
2000	0000100157	2000000326	2026-06-18	NL	53854924	946159065575	C	0000100157
2000	0000100157	2000000327	2026-06-28	NL	53854924	946159065575	U	THIRDPARTY
5000	0000100159	2000000328	2026-06-25	HK	71909098	568474908754	T	0000100159
4000	0000100160	2000000329	2026-06-09	GB	19680725	359402765433	C	0000100160
4000	0000100160	2000000330	2026-04-03	GB	19680725	359402765433	T	0000100160
4000	0000100161	2000000331	2026-05-21	CH	89599035	627671944846	T	0000100161
4000	0000100161	2000000332	2026-03-27	CH	89599035	627671944846	T	0000100161
4000	0000100163	2000000333	2026-03-31	NL	73697635	654546966420	T	0000100163
4000	0000100163	2000000334	2026-01-30	NL	73697635	654546966420	T	0000100163
3000	0000100164	2000000335	2026-08-27	KY	37003108	370585844993	C	0000100164
4000	0000100165	2000000336	2026-04-19	KY	61950060	137029152817	U	0000100165
4000	0000100165	2000000337	2026-09-28	KY	61950060	137029152817	C	0000100165
2000	0000100167	2000000338	2026-08-13	LU	81114917	326969535910	C	0000100167
2000	0000100167	2000000339	2026-01-11	LU	81114917	326969535910	T	0000100167
4000	0000100168	2000000340	2026-04-04	VN	90827164	225793207508	C	0000100168
4000	0000100168	2000000341	2026-05-22	FR	90250808	495698802693	U	0000100168
4000	0000100168	2000000342	2026-05-08	VN	90827164	225793207508	C	0000100168
1000	0000100169	2000000343	2026-02-10	KR	10131743	308130736665	T	0000100169
4000	0000100171	2000000344	2026-08-12	GB	46047970	252290816740	T	0000100171
4000	0000100171	2000000345	2026-05-27	GB	46047970	252290816740	T	0000100171
3000	0000100172	2000000346	2026-10-07	AE	65397382	408621063101	C	0000100172
4000	0000100173	2000000347	2026-07-10	GB	89320499	537591980187	C	0000100173
4000	0000100173	2000000348	2026-07-16	GB	89320499	537591980187	T	0000100173
4000	0000100173	2000000349	2026-08-12	GB	89320499	537591980187	T	0000100173
4000	0000100173	2000000350	2026-08-17	GB	89320499	537591980187	U	0000100173
1000	0000100174	2000000351	2026-01-29	TH	55995963	943507901473	U	0000100174
4000	0000100175	2000000352	2026-08-02	GB	42300255	293053189631	C	0000100175
4000	0000100175	2000000353	2026-05-08	GB	42300255	293053189631	U	THIRDPARTY
2000	0000100176	2000000354	2026-07-24	LU	96761901	185576258731	T	0000100176
2000	0000100176	2000000355	2026-08-03	LU	96761901	185576258731	T	0000100176
